Protocol,Name,Completeness,Clarity,Actionability,Integration,Evidence,Automation,Overall
00-generate-rules,Rule Generation Command,3,7,7,4,3,8,5.33
01,00A: Client Proposal Generation,9,9,9,9,9,9,9.00
02,00B: Client Discovery Initiation,9,9,9,9,9,9,9.00
03,01: Project Brief Creation,9,9,9,9,9,9,9.00
04,00: Project Bootstrap & Context Engineering,9,9,9,9,9,9,9.00
05,0: Bootstrap Your Project,9,9,9,9,9,9,9.00
06,1: Implementation-Ready PRD Creation,9,9,9,9,9,9,9.00
07,6: Technical Design & Architecture,9,9,9,9,9,9,9.00
08,2: Technical Task Generation,9,9,9,9,9,9,9.00
09,7: Environment Setup & Validation,9,9,9,9,9,9,9.00
10,3: Controlled Task Execution,9,9,9,9,9,9,9.00
11,9: Integration Testing,9,9,9,9,9,9,9.00
12,4: Quality Audit,9,9,9,9,9,9,9.00
13,15: UAT Coordination,9,9,9,9,9,9,9.00
14,10: Pre-Deployment Staging,9,9,9,9,9,9,9.00
15,11: Production Deployment,9,9,9,9,9,9,9.00
16,12: Monitoring & Observability,9,9,9,9,9,9,9.00
17,13: Incident Response & Rollback,9,9,9,9,9,9,9.00
18,14: Performance Optimization,9,9,9,9,9,9,9.00
19,16: Documentation & Knowledge Transfer,9,9,9,9,9,9,9.00
20,17: Project Closure,9,9,9,9,9,9,9.00
21,18: Maintenance & Support,9,9,9,9,9,9,9.00
22,5: Implementation Retrospective,9,9,9,9,9,9,9.00
23,8: Script Governance,9,9,9,9,9,9,9.00
24,00-CD: Client Discovery,9,9,9,9,9,9,9.00
25,Protocol Integration Map,4,7,6,7,4,3,5.17
26,Integration Guide,3,7,5,6,3,6,5.00
27,Validation Guide,3,7,5,6,4,5,5.00
