Protocol,Path,PR24_Completeness,PR22_Completeness,PR23_Completeness,Completeness_Severity,Final_Completeness,PR24_Clarity,PR22_Clarity,PR23_Clarity,Clarity_Severity,Final_Clarity,PR24_Actionability,PR22_Actionability,PR23_Actionability,Actionability_Severity,Final_Actionability,PR24_Integration,PR22_Integration,PR23_Integration,Integration_Severity,Final_Integration,PR24_Evidence,PR22_Evidence,PR23_Evidence,Evidence_Severity,Final_Evidence,PR24_Automation,PR22_Automation,PR23_Automation,Automation_Severity,Final_Automation,PR24_Overall,PR22_Overall,PR23_Overall,Overall_Severity,Consensus,Weighted_Average,Evidence_Factor,Consensus_Bonus,Penalty,Final_Overall,Confidence,Notes
01-client-proposal-generation,.cursor/ai-driven-workflow/01-client-proposal-generation.md,10.0,9.6,10.0,Aligned,10.0,9.0,9.5,10.0,P2,9.77,9.0,9.4,10.0,P2,9.73,9.0,9.5,10.0,P2,9.77,9.0,9.5,10.0,P2,9.77,9.0,9.2,10.0,P2,9.65,9.17,9.5,10.0,P2,No,9.59,1.0232,0.0,0.0,9.82,High,Moderate variance; synchronize templates and metrics.
02-client-discovery-initiation,.cursor/ai-driven-workflow/02-client-discovery-initiation.md,10.0,9.5,10.0,Aligned,10.0,9.0,9.4,10.0,P2,9.73,9.0,9.3,10.0,P2,9.69,9.0,9.4,10.0,P2,9.73,9.0,9.4,10.0,P2,9.73,9.0,9.1,10.0,P2,9.61,9.17,9.3,10.0,P2,No,9.51,1.0232,0.0,0.0,9.73,High,Moderate variance; synchronize templates and metrics.
03-project-brief-creation,.cursor/ai-driven-workflow/03-project-brief-creation.md,9.0,9.5,10.0,P2,9.77,9.0,9.3,10.0,P2,9.69,9.0,9.2,10.0,P2,9.65,9.0,9.3,10.0,P2,9.69,9.0,9.3,10.0,P2,9.69,9.0,9.0,10.0,P2,9.57,9.0,9.3,10.0,P2,No,9.47,1.0232,0.0,0.0,9.69,High,Moderate variance; synchronize templates and metrics.
04-project-bootstrap-and-context-engineering,.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md,9.0,9.4,10.0,P2,9.73,9.0,9.2,10.0,P2,9.65,9.0,9.1,10.0,P2,9.61,9.0,9.2,10.0,P2,9.65,9.0,9.1,10.0,P2,9.61,9.0,8.9,10.0,P2,9.53,9.0,9.2,10.0,P2,No,9.43,1.0232,0.0,0.0,9.65,High,Moderate variance; synchronize templates and metrics.
05-bootstrap-your-project,.cursor/ai-driven-workflow/05-bootstrap-your-project.md,8.0,9.6,10.0,P1,9.06,8.0,9.4,10.0,P1,8.98,8.0,9.3,10.0,P1,8.93,3.0,9.3,10.0,P0,7.16,8.0,9.3,10.0,P1,8.93,8.0,9.0,10.0,P1,8.81,7.17,9.3,10.0,P0,No,9.01,1.0232,0.0,0.5,8.72,Low,Critical disagreement on scoring; rebuild protocol before reuse.
06-create-prd,.cursor/ai-driven-workflow/06-create-prd.md,9.0,9.5,10.0,P2,9.77,9.0,9.4,10.0,P2,9.73,9.0,9.3,10.0,P2,9.69,7.0,9.4,10.0,P0,8.22,9.0,9.4,10.0,P2,9.73,9.0,9.1,10.0,P2,9.61,8.67,9.3,10.0,P0,No,9.39,1.0232,0.0,0.0,9.61,Low,Critical disagreement on scoring; rebuild protocol before reuse.
07-technical-design-architecture,.cursor/ai-driven-workflow/07-technical-design-architecture.md,9.0,9.4,10.0,P2,9.73,9.0,9.3,10.0,P2,9.69,9.0,9.2,10.0,P2,9.65,8.0,9.3,10.0,P1,8.93,9.0,9.3,10.0,P2,9.69,9.0,9.0,10.0,P2,9.57,8.83,9.2,10.0,P1,No,9.39,1.0232,0.0,0.0,9.61,Medium,High-variance scoring; align evidence and automation gates.
08-generate-tasks,.cursor/ai-driven-workflow/08-generate-tasks.md,9.0,9.4,10.0,P2,9.73,9.0,9.2,10.0,P2,9.65,9.0,9.1,10.0,P2,9.61,8.0,9.2,10.0,P1,8.89,9.0,9.2,10.0,P2,9.65,9.0,8.9,10.0,P2,9.53,8.83,9.2,10.0,P1,No,9.39,1.0232,0.0,0.0,9.61,Medium,High-variance scoring; align evidence and automation gates.
09-environment-setup-validation,.cursor/ai-driven-workflow/09-environment-setup-validation.md,9.0,9.3,10.0,P2,9.69,9.0,9.1,10.0,P2,9.61,9.0,9.0,10.0,P2,9.57,7.0,9.1,10.0,P0,8.1,9.0,9.0,10.0,P2,9.57,9.0,8.8,10.0,P2,9.49,8.67,9.0,10.0,P0,No,9.27,1.0232,0.0,0.0,9.48,Low,Critical disagreement on scoring; rebuild protocol before reuse.
10-process-tasks,.cursor/ai-driven-workflow/10-process-tasks.md,9.0,9.4,10.0,P2,9.73,9.0,9.2,10.0,P2,9.65,9.0,9.2,10.0,P2,9.65,6.0,9.3,10.0,P0,7.92,9.0,9.2,10.0,P2,9.65,9.0,9.0,10.0,P2,9.57,8.5,9.2,10.0,P0,No,9.3,1.0232,0.0,0.0,9.52,Low,Critical disagreement on scoring; rebuild protocol before reuse.
11-integration-testing,.cursor/ai-driven-workflow/11-integration-testing.md,9.0,9.5,10.0,P2,9.77,9.0,9.3,10.0,P2,9.69,9.0,9.2,10.0,P2,9.65,7.0,9.3,10.0,P0,8.18,9.0,9.3,10.0,P2,9.69,9.0,9.1,10.0,P2,9.61,8.67,9.3,10.0,P0,No,9.39,1.0232,0.0,0.0,9.61,Low,Critical disagreement on scoring; rebuild protocol before reuse.
